Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
98	42.22222	4.1573973	51.0	38.0	33.0	0.0	33.0	33.0	80.0	80.0	78400	29.058218	0.3282631	30.684723	28.146078	29.058378	0.32536772	30.619026	28.052452	13.906817	6.0052276	54.50347	-2.5274858	-29.343456	0.14865807	6904.725203514099
99	39.22222	2.09644	43.0	36.0	42.0	0.0	42.0	42.0	80.0	80.0	79200	29.723715	0.33650157	31.54999	28.626978	29.723925	0.33231902	31.388538	28.700716	13.905958	6.1205454	61.13816	-1.9744835	-30.017845	0.14966704	6975.707127571106
100	39.0	4.21637	46.0	31.0	40.0	0.0	40.0	40.0	80.0	80.0	80000	30.38903	0.33314344	32.10695	29.255346	30.389265	0.32815665	32.011093	29.31197	13.824297	6.436274	73.30773	-8.477355	-30.684837	0.14999871	7046.1638832092285
101	41.77778	2.5724082	47.0	39.0	44.0	0.0	44.0	44.0	80.0	80.0	80800	31.0481	0.33199614	32.74494	30.069649	31.048203	0.3270562	32.662212	30.016401	14.6708	7.028003	74.04578	-6.9032025	-31.343847	0.15160674	7117.210165262222
102	40.88889	4.148479	48.0	34.0	37.0	0.0	37.0	37.0	80.0	80.0	81600	31.685616	0.33417973	33.466557	30.589432	31.685698	0.32852474	33.34995	30.601713	14.982736	7.050523	64.365845	-2.2775395	-31.981417	0.15297325	7187.7893233299255
103	42.22222	4.7088046	50.0	33.0	38.0	0.0	38.0	38.0	80.0	80.0	82400	32.32963	0.34302476	34.20007	31.292496	32.32975	0.33819446	34.047756	31.304586	15.353967	7.4714203	74.414116	-5.7310944	-32.63702	0.15145597	7258.764607906342
104	46.22222	3.4246747	51.0	41.0	44.0	0.0	44.0	44.0	80.0	80.0	83200	32.99251	0.33878627	34.798717	31.884119	32.992607	0.33298612	34.707306	31.985788	15.906833	7.715074	65.1377	-0.6202282	-33.290115	0.15598272	7329.184063196182
105	45.88889	4.6294813	53.0	37.0	41.0	0.0	41.0	41.0	80.0	80.0	84000	33.631954	0.3466014	35.4519	32.54408	33.632126	0.3402962	35.341385	32.559517	16.4565	8.524436	84.292305	-7.74228	-33.936844	0.15611716	7399.802336215973
106	43.22222	3.9377878	52.0	38.0	49.0	0.0	49.0	49.0	80.0	80.0	84800	34.27102	0.34954178	36.049202	33.199062	34.27112	0.34306678	35.953312	33.19395	17.439846	9.827131	86.920975	-8.256724	-34.582832	0.15781932	7470.312801837921
107	48.333332	4.9441323	56.0	42.0	49.0	0.0	49.0	49.0	80.0	80.0	85600	34.908165	0.3486172	36.68233	33.770466	34.908115	0.34105322	36.555676	33.784233	18.931438	10.750907	89.32323	-9.029247	-35.21205	0.16270697	7541.133193254471
