Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
22	0.7777778	0.7856742	2.0	0.0	1.0	0.0	1.0	1.0	80.0	80.0	17600	2.836604	0.03153929	3.0025268	2.7437289	2.8366165	0.031367436	2.9885044	2.746825	5.4423695	1.5380712	9.080583	-6.558598	-2.8472102	0.02574155	1572.5565650463104
23	0.22222222	0.4157397	1.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	18400	2.8452253	0.03838126	3.009926	2.7413945	2.8452132	0.03787794	3.00525	2.7449822	5.6160045	1.5943263	9.819874	-4.528611	-2.8653028	0.024985824	1644.2302677631378
24	0.33333334	0.47140452	1.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	19200	2.8826857	0.035894834	3.050712	2.7909966	2.8826675	0.035574574	3.0509267	2.7914326	6.16586	1.670795	10.47206	-3.6785243	-2.9057152	0.023659598	1719.6823196411133
25	1.0	0.94280905	3.0	0.0	0.0	0.0	0.0	0.0	80.0	80.0	20000	2.9020586	0.028706348	3.0600655	2.812343	2.9020698	0.028741792	3.0550725	2.8161337	6.347622	1.6653452	10.607368	-5.5463524	-2.9213	0.021773238	1808.0249736309052
26	1.7777778	1.1331154	4.0	0.0	2.0	0.0	2.0	2.0	80.0	80.0	20800	2.9162712	0.023033867	3.0640893	2.8302982	2.9162765	0.023340331	3.0815663	2.830122	6.0166526	1.5547688	10.268087	-2.998693	-2.9354827	0.023336692	1897.8481152057648
27	1.7777778	1.1331154	4.0	0.0	3.0	0.0	3.0	3.0	80.0	80.0	21600	2.9353204	0.024115363	3.124019	2.8374245	2.9353411	0.024584796	3.1306622	2.8282332	6.255808	1.6016449	10.894611	-4.051663	-2.957849	0.023618229	1967.7183578014374
28	3.8888888	1.5234789	7.0	2.0	2.0	0.0	2.0	2.0	80.0	80.0	22400	2.9748197	0.031617396	3.1630049	2.8679028	2.9747806	0.031569973	3.1681697	2.8519204	6.566608	1.6819676	11.30868	-3.6533597	-3.00164	0.026671216	2037.687724351883
29	1.8888888	0.5665577	3.0	1.0	3.0	0.0	3.0	3.0	80.0	80.0	23200	3.0856755	0.055710226	3.3510883	2.9216347	3.0855558	0.055184625	3.3244183	2.9032466	6.5467052	1.8134562	11.584148	-4.1433077	-3.1373894	0.02780832	2107.644450902939
30	7.888889	9.254961	32.0	1.0	39.0	0.0	39.0	39.0	80.0	80.0	24000	3.252445	0.063693285	3.5351806	3.085734	3.2523477	0.06310694	3.5157018	3.0664628	6.756366	1.8853371	12.026424	-2.4443078	-3.3126817	0.029383155	2178.1767258644104
31	25.11111	10.857097	37.0	4.0	32.0	0.0	32.0	32.0	80.0	80.0	24800	3.462016	0.09023276	3.86377	3.2699437	3.461895	0.08948253	3.8397307	3.2529166	6.973808	1.9529543	12.42272	-4.1721826	-3.5353198	0.03946383	2248.243904352188
